matricula_aluno,nome_aluno,codigo_instituicao,nome_instituicao,sexo_aluno,id_curso,nome_curso,turno_curso,turma_aluno,periodo_inicial_aluno,codigo_departamento,nome_departamento
20211BAQUIN0063,,,Campus Aracruz,M,,Bacharelado em Química Industrial,Integral,,2021/1,,
20251ENG.MEC0011,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,20251.ENG.MEC.1,2025/1,,
20211LQUIM0073,,,Campus Aracruz,M,,Licenciatura em Química,Noturno,,2021/1,,
20211BAQUIN0209,,,Campus Aracruz,M,,Bacharelado em Química Industrial,Integral,,2021/1,,
20241BAQUIN0127,,,Campus Aracruz,F,,Bacharelado em Química Industrial,Integral,,2024/1,,
20241BAQUIN0011,,,Campus Aracruz,F,,Bacharelado em Química Industrial,Integral,,2024/1,,
20211LQUIM0049,,,Campus Aracruz,F,,Licenciatura em Química,Noturno,,2021/1,,
20201ENG.MEC0367,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,,2020/1,,
20241BAQUIN0097,,,Campus Aracruz,F,,Bacharelado em Química Industrial,Integral,,2024/1,,
20231LQUIM0205,,,Campus Aracruz,F,,Licenciatura em Química,Noturno,,2023/1,,
20171BAQUIN0384,,,Campus Aracruz,F,,Bacharelado em Química Industrial,Integral,,2017/1,,
20241LQUIM0113,,,Campus Aracruz,F,,Licenciatura em Química,Noturno,20251.LQUIM.1N,2024/1,,
20211ENG.MEC0036,,,Campus Aracruz,F,,Engenharia Mecânica,Integral,,2021/1,,
20231LQUIM0060,,,Campus Aracruz,F,,Licenciatura em Química,Noturno,,2023/1,,
20251LQUIM0170,,,Campus Aracruz,F,,Licenciatura em Química,Noturno,20251.LQUIM.1N,2025/1,,
20221BAQUIN0060,,,Campus Aracruz,F,,Bacharelado em Química Industrial,Noturno,,2022/1,,
20251BAQUIN0190,,,Campus Aracruz,F,,Bacharelado em Química Industrial,Integral,20251.BAQUIN.1,2025/1,,
20221BAQUIN0043,,,Campus Aracruz,F,,Bacharelado em Química Industrial,Integral,,2022/1,,
20231LQUIM0183,,,Campus Aracruz,F,,Licenciatura em Química,Noturno,,2023/1,,
20241ENG.MEC0369,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,,2024/1,,
20211LQUIM0332,,,Campus Aracruz,F,,Licenciatura em Química,Noturno,,2021/1,,
20201BAQUIN0172,,,Campus Aracruz,F,,Bacharelado em Química Industrial,Integral,,2020/1,,
20242LQUIM0014,,,Campus Aracruz,F,,Licenciatura em Química,Noturno,,2024/2,,
20251BAQUIN0018,,,Campus Aracruz,M,,Bacharelado em Química Industrial,Integral,20251.BAQUIN.1,2025/1,,
20181ENG.MEC0250,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,,2018/1,,
20211ENG.MEC0427,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,,2021/1,,
20201ENG.MEC0227,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,,2020/1,,
20251BAQUIN0026,,,Campus Aracruz,M,,Bacharelado em Química Industrial,Integral,20251.BAQUIN.1,2025/1,,
20251ENG.MEC0445,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,20251.ENG.MEC.1,2025/1,,
20211ENG.MEC0206,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,,2021/1,,
20211ENG.MEC0095,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,,2021/1,,
20211ENG.MEC0397,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,,2021/1,,
20191ENG.MEC0078,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,,2019/1,,
20251LQUIM0021,,,Campus Aracruz,M,,Licenciatura em Química,Noturno,20251.LQUIM.1N,2025/1,,
20221ENG.MEC0040,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,,2022/1,,
20251BAQUIN0220,,,Campus Aracruz,F,,Bacharelado em Química Industrial,Integral,20251.BAQUIN.1,2025/1,,
20241ENG.MEC0423,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,,2024/1,,
20241ENG.MEC0393,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,,2024/1,,
20201BAQUIN0415,,,Campus Aracruz,F,,Bacharelado em Química Industrial,Integral,,2020/1,,
20251BAQUIN0204,,,Campus Aracruz,F,,Bacharelado em Química Industrial,Integral,20251.BAQUIN.1,2025/1,,
20181ENG.MEC0510,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,,2018/1,,
20251ENG.MEC0020,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,20251.ENG.MEC.1,2025/1,,
20231ENG.MEC0177,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,,2023/1,,
20191ENG.MEC0418,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,,2019/1,,
20201BAQUIN0040,,,Campus Aracruz,M,,Bacharelado em Química Industrial,Integral,,2020/1,,
20181ENG.MEC0285,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,,2018/1,,
20241BAQUIN0020,,,Campus Aracruz,M,,Bacharelado em Química Industrial,Integral,,2024/1,,
20171LQUIM0275,,,Campus Aracruz,F,,Licenciatura em Química,Noturno,,2017/1,,
20251ENG.MEC0038,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,20251.ENG.MEC.1,2025/1,,
20201ENG.MEC0324,,,Campus Aracruz,F,,Engenharia Mecânica,Integral,,2020/1,,
20251LQUIM0218,,,Campus Aracruz,F,,Licenciatura em Química,Noturno,20251.LQUIM.1N,2025/1,,
20221BAQUIN0027,,,Campus Aracruz,F,,Bacharelado em Química Industrial,Integral,,2022/1,,
20231LQUIM0221,,,Campus Aracruz,F,,Licenciatura em Química,Noturno,,2023/1,,
20201BAQUIN0032,,,Campus Aracruz,F,,Bacharelado em Química Industrial,Integral,,2020/1,,
20251BAQUIN0247,,,Campus Aracruz,M,,Bacharelado em Química Industrial,Integral,20251.BAQUIN.1,2025/1,,
20241ENG.MEC0059,,,Campus Aracruz,F,,Engenharia Mecânica,Integral,,2024/1,,
20211LQUIM0081,,,Campus Aracruz,F,,Licenciatura em Química,Noturno,,2021/1,,
20241ENG.MEC0458,,,Campus Aracruz,F,,Engenharia Mecânica,Integral,,2024/1,,
20161LQUIM0090,,,Campus Aracruz,F,,Licenciatura em Química,Noturno,,2016/1,,
20251LQUIM0030,,,Campus Aracruz,F,,Licenciatura em Química,Noturno,20251.LQUIM.1N,2025/1,,
20251BAQUIN0140,,,Campus Aracruz,M,,Bacharelado em Química Industrial,Integral,20251.BAQUIN.1,2025/1,,
20251LQUIM0196,,,Campus Aracruz,F,,Licenciatura em Química,Noturno,20251.LQUIM.1N,2025/1,,
20181LQUIM0140,,,Campus Aracruz,M,,Licenciatura em Química,Noturno,,2018/1,,
20201ENG.MEC0138,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,,2020/1,,
20241ENG.MEC0431,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,,2024/1,,
20201BAQUIN0431,,,Campus Aracruz,F,,Bacharelado em Química Industrial,Integral,,2020/1,,
20251BAQUIN0255,,,Campus Aracruz,F,,Bacharelado em Química Industrial,Integral,20251.BAQUIN.1,2025/1,,
20251ENG.MEC0267,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,20251.ENG.MEC.1,2025/1,,
20251ENG.MEC0259,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,20251.ENG.MEC.1,2025/1,,
20221ENG.MEC0368,,,Campus Aracruz,M,,Engenharia Mecânica,Integral,,2022/1,,
