campus,total_alunos
Campus Vitória,1915
Campus Serra,1179
Campus Vila Velha,650
Campus Colatina,562
Campus Cachoeiro de Itapemirim,540
Campus Cariacica,486
Campus Guarapari,464
Campus Itapina,457
Campus Aracruz,358
Campus Santa Teresa,334
Campus de Alegre,280
Campus São Mateus,268
Campus Venda Nova do Imigrante,265
Campus Linhares,249
Campus Nova Venécia,236
Campus Ibatiba,167
Campus Barra de São Francisco,110
Campus Viana,109
Campus Centro-Serrano,105
Campus Piúma,101
Campus Montanha,50
