curso,total_alunos
Licenciatura em Letras Português,685
Sistemas de Informação,600
Engenharia Mecânica,567
Engenharia de Controle e Automação,535
Bacharelado em Administração,383
Tecnologia em Sistemas para Internet,375
Agronomia,341
Engenharia de Produção,255
Bacharelado em Química Industrial,207
Bacharelado em Administração - Campus Guarapari,203
Engenharia Civil,191
Licenciatura em Química,188
Bacharelado em Sistemas de Informação,187
Bacharelado em Biomedicina,185
Licenciatura em Letras,172
Engenharia Elétrica,170
Licenciatura em Pedagogia - Integral,167
Engenharia Sanitária e Ambiental,163
Bacharelado em Arquitetura e Urbanismo,163
Bacharelado em Engenharia Elétrica,154
Licenciatura em Matemática - Noturno,149
Engenharia Metalúrgica - CH Comp 200,133
Licenciatura em Matemática,132
Licenciatura em Pedagogia,121
ENGENHARIA MECÂNICA,121
Superior de Tecnologia em Análise e Desenvolvimento de Sistemas,112
Bacharelado em Administração - campus Barra de São Francisco,110
Superior de Tecnologia em Logística,109
Engenharia  Elétrica,109
Bacharelado em Ciências Econômicas,109
Licenciatura em Ciências da Natureza,107
Licenciatura em Física,106
Bacharelado em Administração - Centro-Serrano,105
ENGENHARIA DE PESCA,101
Pedagogia - Noturno,99
Bacharelado em Engenharia Civil,97
Licenciatura em Ciências Biológicas,93
Engenharia de Minas,91
Bacharelado em Administração Campus Linhares,91
Licenciatura em Geografia  - Nova Venécia,85
Zootecnia,84
Engenharia Química - Integral,78
Ciências Biológicas,77
Bacharel em Engenharia Ambiental - Integral,68
Bacharelado em Ciência e Tecnologia de Alimentos,60
Tecnologia em Sistemas para Internet - Integral,56
Bacharelado em Geologia,54
Tecnologia em Gestão Ambiental,50
Bacharelado em Medicina Veterinária,41
Superior de Tecnologia em Cafeicultura,40
BACHARELADO EM MEDICINA VETERINÁRIA,38
Licenciatura em Letras com Habilitação em Português,34
Licenciatura em Ciências Agrícolas,29
Letras Inglês - Segunda Licenciatura - Integral,27
Licenciatura em Informática EAD,23
Bacharelado em Ciências Biológicas - Campus de Alegre,19
Bacharelado em Física,16
Bacharel em Engenharia de Aquicultura,16
Tecnologia em Análise e Desenvolvimento de Sistemas,4
