nome_curso,quantidade_alunos_atrasados
Engenharia de Controle e Automação,121
Sistemas de Informação,100
Engenharia Mecânica,74
Bacharelado em Administração,62
Agronomia,55
Licenciatura em Letras Português,54
Engenharia de Produção,50
Bacharelado em Química Industrial,43
Engenharia Elétrica,39
Engenharia Sanitária e Ambiental,36
Licenciatura em Matemática - Noturno,32
Bacharelado em Sistemas de Informação,29
Licenciatura em Letras,28
Licenciatura em Química,26
Licenciatura em Pedagogia,26
